model,session,trial_number,state,p_state0,p_state1,p_state2,p_go,actual_choice,pupil_zscore,stim_strength
Original,243-R-mPFC-S1-NE_2023_01_20,80,2,0.002407692696299205,0.006158837550158817,0.9914334697535443,0.15308757663350922,0,-0.42501770355993335,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,81,2,0.0006769420699208427,0.00937833376233559,0.989944724167747,0.5414105688502343,1,-0.725006144408622,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,82,2,0.0010318860941740562,0.011388413552006555,0.9875797003538171,0.22602878919882977,1,-0.1995819201352355,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,83,2,0.003324663189231913,0.011939803889939156,0.9847355329208305,0.019732750111698626,0,3.1774740395574455,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,84,2,0.0028142867198486243,0.012768095331121696,0.9844176179490332,0.9999999984613523,1,1.0155655019856116,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,85,2,0.003393852937514899,0.013582708726881186,0.9830234383356058,0.09469067965918232,0,0.795893144942058,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,86,2,0.0009035613022805647,0.01565786745077977,0.9834385712469397,0.20526244159762028,1,0.0745843748012281,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,87,2,0.0003667365361296186,0.01617817481869434,0.9834550886451727,0.9644274053663835,1,0.05707743475056994,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,88,2,0.001879402169623417,0.01671926540914881,0.9814013324212312,0.09167264638010628,0,-0.42041138028821035,0.0
Original,243-R-mPFC-S1-NE_2023_01_20,89,2,0.00042619038900687116,0.018614364009475432,0.9809594456015174,0.9703138472361219,1,-0.3602074820136434,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,90,2,0.0007909064134249362,0.020566126808330767,0.9786429667782421,0.9999999985680628,1,0.8551598497516304,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,91,2,0.0002112640813924765,0.022488049724539924,0.9773006861940703,0.9653670304221053,1,-0.004837430145527856,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,92,2,0.0003708371249087919,0.024480602826741242,0.97514856004835,0.21783743256067833,1,-0.0937067879641043,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,93,2,0.00035265530915466444,0.024976152114100814,0.9746711925767457,0.9998994277961257,1,-0.16002069501109584,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,94,2,0.0002020292509333727,0.025469605557339774,0.9743283651917289,0.9733711527771077,1,-0.6097829962917857,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,95,2,8.959128738707693e-05,0.025975841093396866,0.973934567619213,0.9506736478747846,1,0.8186412864064107,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,96,2,8.203231328378142e-05,0.02651771438529416,0.9734002533014195,0.9996835762579077,1,2.398462186937735,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,97,2,0.00017696757999239131,0.027081789318945303,0.972741243101061,0.9998186902764274,1,1.155375477533606,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,98,2,0.0003917434586747479,0.027653103089893896,0.9719551534514349,0.4030026640141099,1,0.5225024378929545,0.1
